id;name;grams;kcal;proteins;fat;carbs;status
1;Actimel. mleko jogurtowe;100;88;2.7;1.5;16;unconfirmed
2;Advokat. likier;100;280;4.4;6;28.4;unconfirmed
3;Agrest;100;60;1.2;0.9;11.8;unconfirmed
4;Ananas;100;33;0.2;0;7.8;unconfirmed
5;Arbuz;100;15;0.3;0.1;3.2;unconfirmed
6;Awokado;100;160;2;15;7;unconfirmed
7;Baleron gotowany;100;246;15.1;20.2;0.9;unconfirmed
8;Banan;100;74;0.9;0.3;17;unconfirmed
9;Baranina. lopatka;100;287;15.6;25;0;unconfirmed
10;Baranina. mieso bez kosci;100;234;18;18;0;unconfirmed
11;Baranina. mieso z koscia;100;238;16.4;26.4;0;unconfirmed
12;Baranina. udziec;100;234;18;18;0;unconfirmed
13;Baton Bounty;100;470;4.2;25.2;56.7;unconfirmed
14;Baton Knoppers;100;528;8;32;52;unconfirmed
15;Baton Mars;100;454;3.6;18.2;68.9;unconfirmed
16;Baton Milky Way;100;447;3.6;16.2;71.8;unconfirmed
17;Baton Nestle Lion;100;491;7.4;22.7;64.1;unconfirmed
18;Baton Snickers;100;509;9.7;28.9;52.6;unconfirmed
19;Baton Twix;100;487;5.3;23.2;64.2;unconfirmed
20;Bazant tuszka;100;108;22.3;1.9;0.5;unconfirmed
21;Benecol. margaryna;100;540;0;60;0;unconfirmed
22;Bialko jaja kurzego;100;46;10.8;0;0.8;unconfirmed
23;Bigos;100;126;5.6;9.8;3.8;unconfirmed
24;Biszkopty. ciastka;100;400;9.3;7.5;73.8;unconfirmed
25;Bobo Frut jablkowy;100;42;0.1;0;10.5;unconfirmed
26;Boczek wieprzowy;100;517;10.1;53;0;unconfirmed
27;Bocwina;100;35;2.1;0.5;5.5;unconfirmed
28;Borowik suszony;100;342;29;10;34;unconfirmed
29;Borowik swiezy;100;36;5.4;0.4;2.7;unconfirmed
30;Bob;100;88;7.1;0.4;14;unconfirmed
31;Brando. landrynki;100;390;0;0;96.6;unconfirmed
32;Brandy;100;225;0;0;0;unconfirmed
33;Brokuly;100;37;3.3;0.2;5.5;unconfirmed
34;Brukselka;100;58;4.7;0.5;8.7;unconfirmed
35;Brzoskwinia;100;59;1.3;0.7;11.9;unconfirmed
36;Brzoskwinie. konserwa. odsaczone;100;82;0.5;0.1;19.8;unconfirmed
37;Budyn czekoladowy;100;95;2.8;2.1;16.2;unconfirmed
38;Budyn waniliowy;100;91;2.5;2;15.7;unconfirmed
39;Bulka grahamka;100;198;6.5;1.3;40;unconfirmed
40;Bulka kajzerka;100;226;5.8;2.6;44.8;unconfirmed
41;Bulka maslana;100;212;5.9;4.5;47;unconfirmed
42;Bulka tarta;100;363;10.4;2.1;75.6;unconfirmed
43;Bulka wroclawska;100;226;5.8;2.6;44.8;unconfirmed
44;Bulka zwykla;100;217;5.8;1.1;45.9;unconfirmed
45;Buraki;100;46;1.8;0.1;9.8;unconfirmed
46;Cappuccino smietankowe. proszek;100;385;5.3;9.9;68.7;unconfirmed
