2;Actimel. mleko jogurtowe;88;2.7;1.5;16;100;jedzenie;unconfirmed
3;Advokat. likier;280;4.4;6;28.4;100;jedzenie;unconfirmed
4;Agrest; 60;1.2;0.9;11.8;100;jedzenie;unconfirmed
5;Ananas; 33;0.2;0;7.8;100;jedzenie;unconfirmed
6;Arbuz;15;0.3;0.1;3.2;100;jedzenie;unconfirmed
7;Awokado;160;2;15;7;100;jedzenie;unconfirmed
8;Baleron gotowany;246;15.1;20.2;0.9;100;jedzenie;unconfirmed
9;Banan; 74;0.9;0.3;17;100;jedzenie;unconfirmed
10;Baranina. lopatka; 287;15.6;25;0;100;jedzenie;unconfirmed
11;Baranina. mieso bez kosci;234;18;18;0;100;jedzenie;unconfirmed
12;Baranina. mieso z koscia;238;16.4;26.4;0;100;jedzenie;unconfirmed
13;Baranina. udziec;234;18;18;0;100;jedzenie;unconfirmed
14;Baton Bounty;470;4.2;25.2;56.7;100;jedzenie;unconfirmed
15;Baton Knoppers;528;8;32;52;100;jedzenie;unconfirmed
16;Baton Mars;454;3.6;18.2;68.9;100;jedzenie;unconfirmed
17;Baton Milky Way;447;3.6;16.2;71.8;100;jedzenie;unconfirmed
18;Baton Nestle Lion;491;7.4;22.7;64.1;100;jedzenie;unconfirmed
19;Baton Snickers;509;9.7;28.9;52.6;100;jedzenie;unconfirmed
20;Baton Twix;487;5.3;23.2;64.2;100;jedzenie;unconfirmed
21;Bazant tuszka;108;22.3;1.9;0.5;100;jedzenie;unconfirmed
22;Benecol. margaryna;540;0;60;0;100;jedzenie;unconfirmed
23;Bialko jaja kurzego;46;10.8;0;0.8;100;jedzenie;unconfirmed
24;Bigos;126;5.6;9.8;3.8;100;jedzenie;unconfirmed
25;Biszkopty. ciastka;400;9.3;7.5;73.8;100;jedzenie;unconfirmed
26;Bobo Frut jablkowy;42;0.1;0;10.5;100;jedzenie;unconfirmed
27;Boczek wieprzowy;517;10.1;53;0;100;jedzenie;unconfirmed
28;Bocwina;35;2.1;0.5;5.5;100;jedzenie;unconfirmed
29;Borowik suszony;342;29;10;34;100;jedzenie;unconfirmed
30;Borowik swiezy;36;5.4;0.4;2.7;100;jedzenie;unconfirmed
31;Bob;88;7.1;0.4;14;100;jedzenie;unconfirmed
32;Brando. landrynki;390;0;0;96.6;100;jedzenie;unconfirmed
33;Brandy;225;0;0;0;100;jedzenie;unconfirmed
34;Brokuly;37;3.3;0.2;5.5;100;jedzenie;unconfirmed
35;Brukselka;58;4.7;0.5;8.7;100;jedzenie;unconfirmed
36;Brzoskwinia;59;1.3;0.7;11.9;100;jedzenie;unconfirmed
37;Brzoskwinie. konserwa. odsaczone;82;0.5;0.1;19.8;100;jedzenie;unconfirmed
38;Budyn czekoladowy;95;2.8;2.1;16.2;100;jedzenie;unconfirmed
39;Budyn waniliowy;91;2.5;2;15.7;100;jedzenie;unconfirmed
40;Bulka grahamka;198;6.5;1.3;40;100;jedzenie;unconfirmed
41;Bulka kajzerka;226;5.8;2.6;44.8;100;jedzenie;unconfirmed
42;Bulka maslana;212;5.9;4.5;47;100;jedzenie;unconfirmed
43;Bulka tarta;363;10.4;2.1;75.6;100;jedzenie;unconfirmed
44;Bulka wroclawska;226;5.8;2.6;44.8;100;jedzenie;unconfirmed
45;Bulka zwykla;217;5.8;1.1;45.9;100;jedzenie;unconfirmed
46;Buraki;46;1.8;0.1;9.8;100;jedzenie;unconfirmed
47;Cappuccino smietankowe. proszek;385;5.3;9.9;68.7;100;jedzenie;unconfirmed
48;Cebula;37;1.4;0.4;6.9;100;jedzenie;unconfirmed
49;Cielecina. lopatka;105;19.9;2.8;0;100;jedzenie;unconfirmed
50;Cielecina. mieso bez kosci;108;19.9;3.1;0;100;jedzenie;unconfirmed
51;Cielecina. mieso z koscia;151;19.7;8;0;100;jedzenie;unconfirmed
52;Cielecina. udziec;108;19.9;3.1;0;100;jedzenie;unconfirmed
53;Chalka;252;5.8;4.4;47;100;jedzenie;unconfirmed
54;Chalwa;531;8;31;55;100;jedzenie;unconfirmed
55;Cheeseburger McDonald;278;12.6;11.8;30.3;100;jedzenie;unconfirmed
56;Chipsy paprykowe;586;6;40;50.4;100;jedzenie;unconfirmed
57;Cherry Brandy. alkohol;265;0;0;32.4;100;jedzenie;unconfirmed
58;Chleb chrupki;372;8.7;2.4;78.9;100;jedzenie;unconfirmed
